Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Albert Wilson,WR,KC,5,3,4,4,3,-,2,1,-,bye,-,7,5,7,2,8,11,62,4.8
Tyler Kroft,TE,CIN,1,0,4,7,5,bye,4,6,2,6,3,4,2,1,4,5,8,62,3.9
Hunter Henry,TE,LAC,0,7,0,3,8,7,5,2,bye,2,5,5,9,6,3,-,-,62,4.4
Julius Thomas,TE,MIA,bye,3,5,4,4,5,4,3,8,5,4,6,3,4,4,-,-,62,4.4
Ricardo Louis,WR,CLE,3,2,6,9,8,7,4,6,bye,6,4,2,0,0,1,1,2,61,3.8
J.J. Nelson,WR,ARI,6,7,3,4,6,1,5,bye,2,4,3,4,8,3,3,1,1,61,3.8
David Njoku,TE,CLE,2,4,4,2,3,5,5,7,bye,6,1,4,6,2,3,3,3,60,3.8
Giovani Bernard,RB,CIN,2,4,2,4,2,bye,3,2,1,5,2,1,3,8,5,7,9,60,3.8
Javorius Allen,RB,BAL,1,6,6,6,5,4,11,3,8,bye,1,1,1,2,3,1,1,60,3.8
Trent Taylor,WR,SF,1,4,4,10,2,5,5,3,3,-,bye,3,6,3,5,4,2,60,4.0
Andre Ellington,RB,HOU,3,5,8,14,10,1,bye,0,3,6,-,-,6,2,0,0,1,59,4.2
Chris Hogan,WR,NE,5,6,6,9,11,4,6,7,bye,-,-,-,-,5,-,-,-,59,6.6
Seth DeValve,TE,CLE,5,4,5,4,4,3,4,3,bye,6,3,2,3,3,4,4,1,58,3.6
Corey Coleman,WR,CLE,6,7,-,-,-,-,0,-,bye,-,11,8,4,6,3,6,6,57,5.7
Bennie Fowler,WR,DEN,4,3,7,2,bye,8,5,6,2,1,1,4,4,0,0,3,6,56,3.5
Bruce Ellington,WR,HOU,2,-,7,4,3,3,bye,4,8,8,7,8,2,-,-,-,-,56,5.1
Allen Hurns,WR,JAC,4,7,3,10,3,3,8,bye,4,9,-,-,-,-,-,-,5,56,5.6
John Brown,WR,ARI,9,-,-,7,7,4,4,bye,4,6,6,-,-,-,-,4,4,55,5.5
Chris Godwin,WR,TB,bye,2,3,0,2,1,1,2,1,10,2,2,3,6,2,6,12,55,3.4
Chris Thompson,RB,WAS,5,7,7,2,bye,5,5,9,6,7,1,-,-,-,-,-,-,54,5.4
Stephen Anderson,TE,HOU,5,-,3,2,2,2,bye,2,6,3,3,0,12,6,3,2,2,53,3.5
Shane Vereen,RB,NYG,10,3,2,2,5,0,4,bye,4,4,3,2,3,4,5,0,2,53,3.3
Antonio Gates,TE,LAC,3,4,5,5,3,1,1,2,bye,2,2,2,4,1,3,8,6,52,3.3
Taylor Gabriel,WR,ATL,4,3,6,5,bye,8,2,1,4,3,2,3,2,1,2,4,1,51,3.2
Dede Westbrook,WR,JAC,-,-,-,-,-,-,0,bye,-,-,6,10,9,8,2,7,9,51,6.4
Rashard Higgins,WR,CLE,0,11,6,4,4,2,3,1,bye,4,2,3,0,1,2,3,4,50,3.1
Will Fuller,WR,HOU,-,-,-,6,3,5,bye,8,8,3,-,-,-,5,5,5,2,50,5.0
TJ Jones,WR,DET,4,0,3,5,4,9,bye,8,2,3,5,0,0,3,3,-,-,49,3.5
Leonard Fournette,RB,JAC,3,5,4,5,1,2,-,bye,-,4,3,3,4,6,-,3,5,48,3.7
Marcedes Lewis,TE,JAC,2,2,5,4,2,2,3,bye,6,5,2,2,5,2,2,1,3,48,3.0
Kenny Golladay,WR,DET,7,3,5,-,-,-,bye,-,-,3,3,4,3,4,5,8,3,48,4.4
Aldrick Robinson,WR,SF,2,0,4,12,1,5,1,2,8,1,bye,3,0,2,2,2,3,48,3.0
Ed Dickson,TE,CAR,1,3,1,4,5,8,5,5,2,5,bye,3,2,1,0,0,3,48,3.0
Kenyan Drake,RB,MIA,bye,0,2,3,0,0,0,1,6,2,2,4,5,6,11,3,3,48,3.0
Wayne Gallman,RB,NYG,-,-,-,2,5,3,3,bye,1,1,4,2,1,9,7,8,2,48,3.7
Devonta Freeman,RB,ATL,2,2,3,2,bye,4,3,3,5,0,-,-,2,0,7,3,11,47,3.4
DeMarco Murray,RB,TEN,2,2,2,2,5,4,4,bye,2,4,6,4,2,3,1,4,-,47,3.1
Donte Moncrief,WR,IND,4,8,3,3,3,7,4,1,2,1,bye,3,8,-,-,-,-,47,3.9
Charles Sims,RB,TB,bye,3,1,1,7,5,3,0,2,4,5,5,2,3,4,1,1,47,2.9
Josh Bellamy,WR,CHI,4,7,0,6,0,0,0,0,bye,7,0,-,2,4,7,4,5,46,3.1
Matt Forte,RB,NYJ,5,4,0,-,-,8,5,7,4,-,bye,1,3,3,5,1,-,46,3.8
Jermaine Gresham,TE,ARI,4,-,9,3,2,2,3,bye,3,7,1,3,3,2,-,1,3,46,3.3
J.D. McKissic,RB,SEA,-,-,-,1,5,bye,2,2,3,5,6,7,3,5,4,0,3,46,3.5
Lamar Miller,RB,HOU,2,3,1,5,3,4,bye,3,4,1,5,3,4,2,4,1,0,45,2.8
DeAndre Washington,RB,OAK,2,3,6,1,-,1,4,10,1,bye,3,3,0,2,3,3,3,45,3.0
Tyler Higbee,TE,LAR,3,1,3,6,8,3,3,bye,2,4,5,3,1,0,1,2,0,45,2.8
Kamar Aiken,WR,IND,2,9,1,5,7,4,3,5,2,-,bye,0,2,0,1,2,1,44,2.9
Martellus Bennett,TE,NE,6,11,4,7,3,4,3,0,bye,3,3,-,-,-,-,-,-,44,4.4
Dontrelle Inman,WR,CHI,0,2,1,1,0,-,0,-,bye,8,5,9,2,0,2,4,10,44,3.1
Kenny Britt,WR,NE,3,2,10,8,-,-,5,0,bye,3,2,2,3,0,1,2,2,43,3.1
Josh Gordon,WR,CLE,-,-,-,-,-,-,0,-,bye,-,-,-,11,6,11,8,7,43,7.2
Isaiah Crowell,RB,CLE,2,1,3,2,3,2,6,6,bye,2,0,2,1,3,5,4,0,42,2.6
Cordarrelle Patterson,WR,OAK,1,1,2,6,1,1,3,4,0,bye,4,4,4,6,2,2,1,42,2.6
Kyle Juszczyk,RB,SF,4,0,1,3,4,-,-,0,2,6,bye,2,3,4,4,5,4,42,3.0
Odell Beckham Jr.,WR,NYG,-,5,13,15,8,-,0,bye,-,-,-,-,-,-,-,-,-,41,8.2
T.J. Yeldon,RB,JAC,-,-,-,-,-,-,2,bye,4,8,2,6,2,0,5,10,2,41,4.1
C.J. Anderson,RB,DEN,3,3,2,4,bye,0,2,1,1,1,3,0,7,2,1,9,1,40,2.5
A.J. Derby,TE,MIA,3,1,2,6,0,4,7,4,3,1,0,-,-,-,0,5,4,40,2.9
Tevin Coleman,RB,ATL,6,2,5,6,bye,1,1,1,2,1,2,0,6,0,-,4,2,39,2.6
Danny Woodhead,RB,BAL,3,-,-,-,-,-,0,-,-,bye,6,4,2,5,7,6,6,39,4.3
O.J. Howard,TE,TB,bye,3,1,4,1,3,6,2,2,0,4,4,2,6,1,-,-,39,2.8
Geronimo Allison,WR,GB,-,5,8,0,2,2,2,bye,1,0,0,0,1,4,8,3,3,39,2.6
Demarcus Robinson,WR,KC,0,0,2,0,1,5,8,1,2,bye,3,4,3,0,0,0,10,39,2.4
Ezekiel Elliott,RB,DAL,5,5,4,5,2,bye,3,2,0,-,-,-,-,-,-,7,5,38,3.8
Frank Gore,RB,IND,1,2,1,3,4,3,0,4,4,1,bye,5,0,1,4,2,3,38,2.4
Greg Olsen,TE,CAR,4,2,-,-,-,-,0,-,-,-,bye,4,-,1,12,6,9,38,4.8
Chris Moore,WR,BAL,0,-,1,-,-,7,8,0,4,bye,0,3,4,3,3,2,3,38,2.9
Devontae Booker,RB,DEN,-,-,-,0,bye,6,4,3,3,1,6,2,1,2,1,8,1,38,2.9
Terrelle Pryor,WR,WAS,11,4,4,5,bye,5,4,1,3,0,-,-,-,-,-,-,-,37,4.1
Brandon Coleman,WR,NO,3,6,1,1,bye,4,3,1,1,4,2,0,2,3,5,0,1,37,2.3
Nick Boyle,TE,BAL,1,1,2,5,2,3,3,4,-,bye,2,1,3,1,2,4,3,37,2.5
Tavarres King,WR,NYG,-,0,0,0,0,3,3,bye,6,4,5,4,9,-,3,-,-,37,3.1
Chester Rogers,WR,IND,-,-,-,-,-,0,2,2,2,6,bye,4,6,4,3,4,4,37,3.4
Eli Rogers,WR,PIT,4,7,0,-,-,0,2,1,bye,1,0,7,2,5,2,4,1,36,2.6
Jordan Matthews,WR,BUF,3,3,5,2,-,bye,3,4,8,2,-,3,3,-,-,-,-,36,3.6
Rex Burkhead,RB,NE,3,4,-,-,-,-,1,7,bye,3,6,2,4,5,1,-,-,36,3.6
Jalen Richard,RB,OAK,1,2,1,1,2,4,4,7,1,bye,3,2,3,0,2,2,1,36,2.3
Matt Breida,RB,SF,0,2,4,3,5,4,1,6,4,2,bye,1,1,0,0,1,2,36,2.3
Alex Collins,RB,BAL,0,0,0,2,0,0,0,2,1,bye,7,2,2,2,8,4,6,36,2.3
Austin Ekeler,RB,LAC,2,0,1,2,6,2,4,1,bye,5,2,3,3,3,1,0,0,35,2.2
Zach Miller,TE,CHI,6,9,3,2,7,3,3,2,bye,-,-,-,-,-,-,-,-,35,4.4
Jordan Reed,TE,WAS,8,6,-,5,bye,5,10,1,-,-,-,-,-,-,-,-,-,35,5.8
Ameer Abdullah,RB,DET,4,0,3,4,1,2,bye,3,1,2,2,5,-,-,4,2,2,35,2.5
Dion Lewis,RB,NE,0,1,3,1,2,0,1,2,bye,0,4,2,0,5,2,5,7,35,2.2
Demetrius Harris,TE,KC,2,0,0,3,3,2,3,2,1,bye,1,2,0,3,2,7,4,35,2.2
Laquon Treadwell,WR,MIN,1,6,1,2,0,3,4,4,bye,1,3,0,1,4,0,2,3,35,2.2
Lance Kendricks,TE,GB,4,0,3,1,1,0,0,bye,3,2,4,0,1,5,2,9,0,35,2.2
Breshad Perriman,WR,BAL,4,4,1,4,3,2,-,2,7,bye,-,2,-,-,2,4,-,35,3.2
Charcandrick West,RB,KC,1,0,2,5,2,1,-,2,6,bye,4,4,-,2,1,4,-,34,2.6
Jamaal Williams,RB,GB,0,1,0,1,0,0,0,bye,2,1,6,5,3,7,0,3,5,34,2.1
Joe Mixon,RB,CIN,3,1,3,4,0,bye,3,3,4,3,2,3,1,-,-,3,1,34,2.4
Jay Ajayi,RB,PHI,0,2,3,1,3,3,4,4,0,bye,1,2,4,2,2,3,-,34,2.3
Kendrick Bourne,WR,SF,0,-,-,-,-,-,2,2,6,3,bye,2,1,2,6,5,5,34,3.1
Bilal Powell,RB,NYJ,6,2,0,5,5,-,2,3,0,2,bye,1,3,0,1,1,2,33,2.2
Brandon Marshall,WR,NYG,4,5,11,10,3,-,0,bye,-,-,-,-,-,-,-,-,-,33,5.5
Marlon Mack,RB,IND,1,1,-,-,1,2,6,5,0,4,bye,2,2,3,1,2,3,33,2.4
Russell Shepard,WR,CAR,2,2,1,1,2,6,3,1,2,7,bye,0,5,1,0,-,0,33,2.2
Garrett Celek,TE,SF,0,1,2,0,1,2,1,2,4,6,bye,2,4,4,3,0,1,33,2.1
Jordan Howard,RB,CHI,5,1,5,4,0,1,0,5,bye,0,0,2,2,2,4,0,1,32,2.0
Nick O'Leary,TE,BUF,2,0,1,0,6,bye,2,3,5,2,3,2,-,1,2,1,2,32,2.1
Rhett Ellison,TE,NYG,1,2,0,2,2,0,1,bye,2,0,1,1,2,5,0,7,6,32,2.0
Gerald Everett,TE,LAR,1,3,0,3,3,3,0,bye,2,2,2,1,4,1,1,0,6,32,2.0
Tyler Boyd,WR,CIN,4,-,1,2,2,bye,-,-,-,-,1,2,3,4,-,6,7,32,3.2
Cody Latimer,WR,DEN,0,2,1,-,bye,-,-,3,3,5,3,4,3,3,4,-,-,31,2.8
Trey Burton,TE,PHI,0,1,3,0,2,1,1,2,4,bye,0,-,7,6,2,0,2,31,2.1
Marshawn Lynch,RB,OAK,2,2,1,1,2,2,0,-,2,bye,1,3,3,2,4,3,3,31,2.1
Ty Montgomery,RB,GB,4,7,12,0,-,3,2,bye,1,2,-,-,-,-,-,-,-,31,3.9
Coby Fleener,TE,NO,6,4,1,4,bye,1,3,1,2,1,5,2,-,-,-,-,-,30,2.7
Jonnu Smith,TE,TEN,1,3,2,0,5,1,4,bye,1,5,1,0,1,0,1,2,3,30,1.9
Dion Sims,TE,CHI,3,1,0,1,4,4,0,5,bye,-,-,1,2,3,1,3,1,29,2.1
Braxton Miller,WR,HOU,1,3,4,-,-,2,bye,0,-,0,3,6,4,-,-,2,4,29,2.6
Justin Hardy,WR,ATL,0,2,0,6,bye,3,2,0,2,2,4,0,0,0,4,1,3,29,1.8
Jamaal Charles,RB,DEN,1,1,1,1,bye,3,4,1,4,1,0,3,5,3,0,-,-,28,2.0
Chris Ivory,RB,JAC,2,4,2,3,0,10,0,bye,4,2,0,0,1,0,0,0,-,28,1.9
Orleans Darkwa,RB,NYG,1,1,1,-,4,1,3,bye,2,2,4,1,1,3,3,0,1,28,1.9
Taywan Taylor,WR,TEN,2,1,3,1,1,4,4,bye,2,3,1,2,2,1,0,1,0,28,1.8
Damien Williams,RB,MIA,bye,0,1,2,2,3,3,2,6,3,1,5,-,-,-,-,-,28,2.5
Ricky Seals-Jones,TE,ARI,0,0,0,0,1,-,-,bye,-,-,5,6,5,3,6,1,1,28,2.3
D.J. Foster,RB,ARI,0,-,-,-,-,-,-,bye,-,-,2,4,5,2,9,3,3,28,3.5
Michael Campanaro,WR,BAL,0,0,2,6,1,5,3,-,-,bye,0,-,0,3,1,2,4,27,2.1
Jeremy Kerley,WR,NYJ,-,3,5,5,4,3,4,3,0,-,bye,-,-,-,0,0,0,27,2.5
Benny Cunningham,RB,CHI,0,-,3,0,4,0,-,1,bye,4,2,2,0,2,5,2,1,26,1.9
Ryan Griffin,TE,HOU,1,-,6,5,4,8,bye,2,0,-,-,-,-,-,-,-,-,26,3.7
Elijah McGuire,RB,NYJ,0,2,0,2,3,0,0,0,1,7,bye,1,0,0,3,1,6,26,1.6
Curtis Samuel,WR,CAR,0,3,5,-,2,0,1,3,5,7,bye,-,-,-,-,-,-,26,2.9
Darren Fells,TE,DET,0,1,1,5,2,4,bye,3,1,1,1,3,2,1,0,0,1,26,1.6
