Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Adam Humphries,WR,TB,bye,41,39,43,52,48,52,39,34,46,33,43,42,38,40,36,58,684,42.8
Devante Parker,WR,MIA,bye,63,58,47,3,0,0,0,54,51,57,56,56,61,64,45,63,678,42.4
Trevor Siemian,QB,MIN,69,77,70,64,0,74,64,73,0,0,0,26,72,70,18,0,0,677,48.4
Jamison Crowder,WR,WAS,49,38,48,36,bye,53,58,56,0,60,41,37,49,41,38,31,39,674,42.1
Kareem Hunt,RB,KC,40,39,37,50,55,42,45,46,31,bye,50,38,40,51,43,58,5,670,41.9
Rashard Higgins,WR,CLE,0,54,52,53,37,45,48,39,bye,44,38,50,36,28,52,43,45,664,44.3
Deonte Thompson,WR,DAL,44,36,46,53,7,bye,21,23,52,39,32,56,55,57,44,61,36,662,41.4
Austin Seferian-Jenkins,TE,JAC,0,0,48,54,44,58,42,55,44,58,0,59,58,35,57,43,0,655,40.9
Robert Woods,WR,LAR,43,45,62,59,64,52,69,bye,45,52,45,0,0,0,52,63,0,651,40.7
Emmanuel Sanders,WR,DEN,53,69,62,48,bye,50,0,0,29,55,76,50,57,47,39,0,0,635,39.7
Brett Hundley,QB,GB,0,0,0,3,0,58,55,bye,59,66,67,55,55,76,0,67,61,622,38.9
C.J. Anderson,RB,CAR,48,56,49,44,0,38,38,35,23,24,29,19,40,41,54,42,37,617,38.6
Ted Ginn,WR,NO,42,43,34,45,bye,37,39,37,37,50,53,41,39,35,0,48,37,617,38.6
Ryan Grant,WR,IND,37,30,34,22,0,40,26,40,59,9,53,49,53,30,46,44,44,616,38.5
Donte Moncrief,WR,JAC,45,53,58,43,53,43,52,56,50,51,0,60,50,0,0,0,0,614,38.4
DeSean Jackson,WR,TB,bye,36,43,45,52,53,52,50,39,54,40,44,49,30,23,0,0,610,38.1
O.J. Howard,TE,TB,bye,46,34,42,41,45,51,39,37,50,46,53,55,56,13,0,0,608,43.4
Michael Crabtree,WR,BAL,48,35,31,0,36,49,72,55,51,bye,58,5,0,54,61,31,17,603,40.2
Hunter Henry,TE,LAC,23,33,41,35,59,54,47,35,bye,45,44,52,50,42,38,0,0,598,42.7
Kelvin Benjamin,WR,BUF,43,43,7,57,50,69,61,47,0,41,4,0,0,41,37,52,45,597,35.1
George Kittle,TE,SF,54,43,39,75,40,66,31,41,33,0,bye,25,27,20,28,35,36,593,37.1
Ezekiel Elliott,RB,DAL,60,63,43,64,64,bye,50,58,62,0,0,0,0,0,0,68,59,591,45.5
Bruce Ellington,WR,HOU,45,0,70,66,55,45,bye,57,63,43,68,63,16,0,0,0,0,591,49.3
Chris Hogan,WR,NE,73,65,59,68,74,63,59,75,bye,0,0,0,0,55,0,0,0,591,36.9
Kamar Aiken,WR,PHI,26,63,5,51,67,51,43,47,49,0,0,7,21,42,34,50,32,588,36.8
Josh Hill,TE,NO,25,26,37,9,bye,48,41,40,28,43,31,38,43,33,45,53,48,588,36.8
Demarcus Robinson,WR,KC,5,2,9,4,12,49,61,51,56,bye,72,51,29,44,37,42,62,586,36.6
Cameron Brate,TE,TB,bye,38,26,35,49,44,38,40,34,33,41,34,32,25,29,45,43,586,36.6
