Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
Ryan Moats (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Samkon Gado (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Terrelle Smith (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Castille (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Verron Haynes (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Willie Parker (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Xavier Omon (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C.J. Spiller (FA),2,0,0.0,1,0,0,0,2,0,0,0,0,1,0.0,0.0,0.1%
J.J. Arrington (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Garrett Mills (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Devin Moore (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andre Anderson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Javarris James (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jehuu Caulcrick (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reagan Maui'a (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Todman (FA),0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
Shane Bannon (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jay Finley (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chad Spann (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Isaac Odim (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eddie Williams (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Mahaffey (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rhett Ellison (NYG),0,0,0,0,0,0,24,32,235,9.8,2,0,14,0.0,0.0,0.1%
Rodney Stewart (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tavon Austin (DAL),58,265,4.6,27,2,1,14,23,52,3.7,0,4,14,0.0,0.0,3.9%
Spencer Ware (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6%
Knile Davis (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Christine Michael (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
Carlin Isles (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
De'Anthony Thomas (KC),1,4,4.0,4,0,0,14,16,143,10.2,2,0,14,0.0,0.0,0.1%
Willie Carter (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Flanders (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austin Johnson (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Brennan Clay (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
George Atkinson (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jeremy Langford (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Malcolm Johnson (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Terrence Magee (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trey Williams (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kenneth Dixon (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9%
Jonathan Williams (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1%
Darius Jackson (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jhurell Pressley (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Russell Hansbrough (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Daniel Lasco (NO),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Brandon Wilds (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Lawrence Thomas (NYJ),2,1,0.5,1,0,0,6,7,43,7.2,0,0,8,0.0,0.0,0.4%
Tra Carson (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jalen Simmons (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Troymaine Pope (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jeremy McNichols (SF),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%
Joe Williams (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
Elijah Hood (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Brandon Wilson (CIN),0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
T.J. Logan (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
Sam Rogers (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Cethan Carter (CIN),0,0,0,0,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0%
Marquez Williams (FA),0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0%
Donnel Pumphrey (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Alex Armah (CAR),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
Anthony Firkser (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jarveon Williams (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ricky Ortiz (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Taquan Mizzell (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Brandon Radcliff (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tim Cook (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dare Ogunbowale (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Lewis Neal (DAL),0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
James Summers (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Algernon Brown (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Joel Bouagnon (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Shane Smith (NYG),0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
Patrick Ricard (BAL),0,0,0,0,0,0,4,4,12,3.0,2,0,6,0.0,0.0,25.6%
Saquon Barkley (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
Derrius Guice (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9%
Ronald Jones II (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5%
Royce Freeman (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.8%
Nick Chubb (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4%
Kerryon Johnson (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1%
Josh Adams (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
Ito Smith (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
Kalen Ballage (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6%
Akrum Wadley (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Jaylen Samuels (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
