Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
Max McCaffrey (SF),1,1,4,4.0,4,0,0,0,0,0,0,2,0.4,0.2,0.0%
Charone Peake (NYJ),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%
Matt Hazel (IND),1,1,1,1.0,1,0,0,0,0,0,0,2,0.1,0.1,0.1%
Adam Jennings (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austin Collie (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bobby Engram (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bobby Wade (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon London (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Clark (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chad Jackson (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Henry (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Craig Davis (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Patten (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Tyree (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deion Branch (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Demetrius Williams (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dennis Northcutt (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Derek Stanley (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Glenn Martinez (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Greg Lewis (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Javon Walker (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joey Galloway (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Standeford (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jonathan Holland (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Kent (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Reed (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Juaquin Iglesias (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Julian Edelman (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5%
Justin Jenkins (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keenan Burton (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kelley Washington (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenny McKinley (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lance Long (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laveranues Coles (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Bradley (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Jones (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marko Mitchell (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marty Booker (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Slater (NE),0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
Maurice Purify (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Furrey (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Muhsin Muhammad (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nate Hughes (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reggie Brown (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reggie Williams (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rod Harper (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ronald Curry (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sam Aiken (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sam Giguere (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sean Morey (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shaun McDonald (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Carter (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Todd Watkins (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Torry Holt (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Troy Williamson (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyler Grisham (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wallace Wright (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yamon Figurs (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Roydell Williams (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominique Edison (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Patrick Williams (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gary Banks (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Onrea Jones (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeremy Williams (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominique Zeigler (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon Banks (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Verran Tucker (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon James (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Duke Calhoun (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Taj Smith (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andy Fantuz (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Greg Little (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dwayne Harris (OAK),0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
Scotty McKnight (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Emmanuel Arceneaux (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Demario Ballard (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chastin West (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eron Riley (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DeVier Posey (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Patrick Edwards (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Calvin (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rod Streater (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Griff Whalen (OAK),4,6,23,5.8,9,0,0,0,0,0,0,2,0.0,0.0,0.0%
Charles Johnson (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Marlon Brown (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Quincy Enunwa (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9%
