Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
Deangelo Peterson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drake Dunsmore (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gavin Escobar (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tim Wright (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jace Amaro (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Erik Swoope (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Marcus Lucas (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Je'Ron Hamm (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Scott Simonson (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jerome Cunningham (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kyle Nelson (SF),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
MyCole Pruitt (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Wes Saxton (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Vince Mayle (BAL),0,1,0,0,0,0,0,2,2,1,0,11,0.0,0.0,0.0%
Jake Fisher (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Lengel (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Darren Waller (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Khari Lee (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Manasseh Garner (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Gabe Holmes (ARI),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Matt LaCosse (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Brian Parker (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Gannon Sinclair (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tim Semisch (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Beau Brinkley (TEN),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Tyler Ott (SEA),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kevin McDermott (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Andrew DePaola (OAK),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Thomas Duarte (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Braedon Bowman (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Henry Krieger Coble (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Rico Gathers (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
Ben Braunecker (CHI),0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
David Grinnage (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Moritz Bohringer (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kyle Carter (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jake McGee (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Devon Cajuste (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Temarrick Hemingway (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Bryce Williams (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Hakeem Valles (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
J.P. Holtz (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Alex Ellis (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ryan O'Malley (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cedrick Lang (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cole Wick (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Joshua Perkins (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jason Vander Laan (CAR),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
Matt Weiser (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Bucky Hodges (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Jake Butt (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8%
Jordan Leggett (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Robert Tonyan (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Mason Schreck (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cethan Carter (CIN),0,1,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
Scott Orndoff (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Mo Alie-Cox (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Blake Jarwin (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
Eric Saubert (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Johnny Mundt (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Keith Towbridge (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jason Croom (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Anthony Firkser (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Evan Baylis (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Sean Culkin (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Pharaoh Brown (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Billy Brown (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tyrone Swoopes (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Shane Smith (NYG),0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
Alex Gray (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Colin Thompson (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Brandon Greene (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trey Edmunds (NO),0,0,0,0,0,0,0,9,48,1,0,7,0.0,0.0,0.6%
Jevoni Robinson (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Chris Bazile (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Mark Andrews (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
Dallas Goedert (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8%
Jaylen Samuels (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
Mike Gesicki (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6%
Troy Fumagalli (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Hayden Hurst (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
Dalton Schultz (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Ian Thomas (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
Jordan Thomas (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Jordan Akins (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
David Wells (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cam Serigne (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrew Vollert (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Deandre Goolsby (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Marcus Baugh (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ethan Wolf (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Durham Smythe (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Chris Herndon IV (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Ryan Izzo (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Pharoah McKever (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tyler Conklin (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Jordan Franks (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ben Johnson (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cole Hunt (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Blake Mack (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dejon Allen (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kevin Radar (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyler Hoppes (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jason Reese (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tanner Hudson (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Troy Mangen (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Nate Wozniak (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Deon Yelder (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ross Dwelley (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Alec Bloom (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Codey McElroy (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Christian Scotland-Williamson (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Stephen Baggett (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Matt Flanagan (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Will Dissly (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Nick Keizer (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Paul Butler (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ryan Smith (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Clayton Wilson (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Austin Roberts (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Garrett Hudson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jaeden Graham (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Garrett Dickerson (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
