Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Rashad Greene,JAC,5.9,66.4,0.3,0.0,0.0,0.0,0.0,8.5
Alex Erickson,CIN,6.1,77.5,0.2,0.7,2.3,0.0,0.4,8.4
DeAndrew White,DEN,4.4,65.7,0.3,0.0,0.5,0.0,0.1,8.2
Russell Gage,ATL,4.0,62.0,0.3,0.0,1.0,0.0,0.0,8.1
Trey Quinn,WAS,5.0,64.0,0.3,0.0,1.0,0.0,0.1,8.1
Justin Watson,TB,5.0,64.0,0.3,0.0,1.0,0.0,0.1,8.1
Nick Williams,TEN,6.0,69.0,0.2,0.0,1.0,0.0,0.1,8.0
De'Anthony Thomas,KC,5.3,47.4,0.5,0.6,3.4,0.0,0.0,8.0
Charone Peake,NYJ,6.7,65.4,0.3,0.0,0.0,0.0,0.1,8.0
Andy Jones,DET,4.8,63.4,0.3,0.0,0.5,0.0,0.1,8.0
Marquis Bundy,NYG,5.0,63.2,0.3,0.0,0.0,0.0,0.0,7.8
Markus Wheaton,PHI,4.2,58.5,0.4,0.0,0.5,0.0,0.1,7.8
Tommylee Lewis,NO,5.1,58.2,0.4,1.1,3.8,0.0,0.6,7.6
Jaleel Scott,BAL,6.0,66.0,0.2,0.0,0.5,0.0,0.0,7.6
Victor Bolden Jr.,SF,4.1,52.5,0.4,0.0,0.0,0.0,0.0,7.5
Tanner McEvoy,SEA,4.8,65.1,0.4,0.0,0.0,0.0,0.6,7.4
Demarcus Ayers,CHI,4.6,57.5,0.3,0.0,0.0,0.0,0.0,7.4
Shane Wynn,JAC,3.8,53.2,0.3,0.5,2.0,0.0,0.1,7.3
Marcell Ateman,OAK,4.0,56.0,0.3,0.0,1.0,0.0,0.1,7.3
Freddie Martino,TB,4.5,65.3,0.1,0.0,0.1,0.0,0.1,7.2
Bradley Marquez,DET,4.9,59.0,0.2,0.0,0.0,0.0,0.0,7.1
Max McCaffrey,SF,5.8,58.9,0.2,0.0,0.5,0.0,0.1,7.1
Chris Thompson,HOU,4.1,58.5,0.2,0.0,0.0,0.0,0.1,7.1
Marvin Hall,ATL,3.8,56.9,0.3,0.0,0.3,0.0,0.1,7.0
Tanner Gentry,CHI,4.8,56.2,0.2,0.0,0.5,0.0,0.1,6.9
K.J. Brent,IND,4.0,50.9,0.3,0.0,0.0,0.0,0.0,6.7
Javon Wims,CHI,4.0,53.0,0.2,0.0,1.0,0.0,0.1,6.4
Stacy Coley,MIN,3.9,46.0,0.3,0.0,0.0,0.0,0.0,6.3
Marcus Johnson,SEA,5.1,54.6,0.2,0.0,0.5,0.0,0.2,6.2
JoJo Natson,LAR,4.0,45.0,0.2,1.0,7.0,0.0,0.1,6.2
Dwayne Harris,OAK,3.0,41.6,0.5,0.0,0.0,0.0,0.4,6.2
Jehu Chesson,KC,4.6,53.4,0.1,0.0,0.0,0.0,0.0,6.1
Charles Johnson,NYJ,5.0,61.0,0.0,0.0,0.0,0.0,0.1,5.9
Kaelin Clay,BUF,4.7,60.4,0.1,0.6,6.7,0.0,0.6,5.9
Ray-Ray McCloud,BUF,4.0,44.0,0.2,0.0,2.0,0.0,0.0,5.8
Austin Proehl,BUF,4.0,44.0,0.2,0.0,2.0,0.0,0.0,5.8
Quan Bray,HOU,4.7,53.0,0.1,0.0,1.5,0.0,0.1,5.8
Noah Brown,DAL,4.4,44.1,0.2,0.0,0.5,0.0,0.1,5.6
Aaron Burbridge,SF,4.0,52.0,0.2,0.0,0.0,0.0,0.3,5.6
Shelton Gibson,PHI,4.3,50.2,0.1,0.0,0.3,0.0,0.1,5.6
Griff Whalen,OAK,5.2,46.5,0.1,0.0,0.0,0.0,0.0,5.3
Chad Hansen,NYJ,3.4,44.7,0.2,0.0,0.0,0.0,0.1,5.2
Jeff Janis,CLE,3.3,38.9,0.1,0.0,2.5,0.1,0.1,4.9
Bryce Treggs,PHI,2.4,33.7,0.2,0.3,1.8,0.0,0.0,4.6
Vince Mayle,BAL,2.3,30.4,0.1,0.1,0.7,0.1,0.1,4.1
Kalif Raymond,NYG,3.2,38.0,0.2,0.0,0.4,0.0,0.6,3.7
Andre Roberts,NYJ,3.0,33.0,0.1,0.0,0.0,0.0,0.7,2.5
,,,,,,,,,
,,,,,,,,,
